ENST00000000233	P84085	ARF5_HUMAN
ENST00000248598	Q14314	FGL2_HUMAN
ENST00000248600	Q9Y6J8	STYL1_HUMAN
ENST00000248633	O43933	PEX1_HUMAN
ENST00000248668	Q9P244	LRFN1_HUMAN
ENST00000248701	P20155	ISK2_HUMAN
ENST00000248706	Q9BPW5	RSLBB_HUMAN
ENST00000248846	Q96RT7	GCP6_HUMAN
ENST00000248879	Q9BY27	DGC6L_HUMAN
ENST00000248899	Q15080	NCF4_HUMAN
ENST00000248901	Q9UIA0	CYH4_HUMAN
ENST00000248924	O75600	KBL_HUMAN
ENST00000248929	Q96HU1	SGSM3_HUMAN
ENST00000248933	Q9BYH1	SE6L1_HUMAN
ENST00000248948	Q9UKI3	VPRE3_HUMAN
ENST00000248958	Q9HCN8	SDF2L_HUMAN
ENST00000248975	Q04917	1433F_HUMAN
ENST00000249007	O75679	RFPL3_HUMAN
ENST00000249014	Q00587	BORG5_HUMAN
ENST00000249016	Q99705	MCHR1_HUMAN
ENST00000249041	O60755	GALR3_HUMAN
ENST00000249044	Q9BWW9	APOL5_HUMAN
ENST00000249064	Q8IWD4	CC117_HUMAN
ENST00000249071	P15153	RAC2_HUMAN
ENST00000249075	P15018	LIF_HUMAN
ENST00000249269	O75439	MPPB_HUMAN
ENST00000249284	Q9NYV7	T2R16_HUMAN
ENST00000249289	Q16864	VATF_HUMAN
ENST00000249299	O95777	LSM8_HUMAN
ENST00000249330	O15240	VGF_HUMAN
ENST00000249344	Q9ULQ0	STRP2_HUMAN
ENST00000249356	Q9UBS3	DNJB9_HUMAN
ENST00000249363	Q9HBW1	LRRC4_HUMAN
ENST00000249373	Q99835	SMO_HUMAN
ENST00000249389	P03999	OPSB_HUMAN
ENST00000249396	Q8IXJ6	SIR2_HUMAN
ENST00000249442	O75431	MTX2_HUMAN
ENST00000249499	P28356	HXD9_HUMAN
ENST00000249501	P28358	HXD10_HUMAN
ENST00000249601	Q7Z5H3	RHG22_HUMAN
ENST00000249636	O75925	PIAS1_HUMAN
ENST00000249647	O00161	SNP23_HUMAN
ENST00000249700	Q9NZR1	TMOD2_HUMAN
ENST00000249749	Q9NR61	DLL4_HUMAN
ENST00000249776	Q9Y448	SKAP_HUMAN
ENST00000249806	Q9NWW5	CLN6_HUMAN
ENST00000249837	Q709C8	VP13C_HUMAN
ENST00000249842	O14498	ISLR_HUMAN
ENST00000249861	Q9P2Z0	THA10_HUMAN
ENST00000249883	Q9Y2J4	AMOL2_HUMAN
ENST00000249887	Q9NPB9	ACKR4_HUMAN
ENST00000249910	O95243	MBD4_HUMAN
ENST00000249923	P53618	COPB_HUMAN
ENST00000250003	P15172	MYOD1_HUMAN
ENST00000250018	P17752	TPH1_HUMAN
ENST00000250055	O60248	SOX15_HUMAN
ENST00000250092	P34810	CD68_HUMAN
ENST00000250101	Q9BRA2	TXD17_HUMAN
ENST00000250111	P14415	AT1B2_HUMAN
ENST00000250113	P51116	FXR2_HUMAN
ENST00000250124	O75352	MPU1_HUMAN
ENST00000250160	O95388	CCN4_HUMAN
ENST00000250237	Q9BXR0	TGT_HUMAN
ENST00000250244	Q9Y6Q5	AP1M2_HUMAN
ENST00000250340	Q9Y240	CLC11_HUMAN
ENST00000250360	Q9Y336	SIGL9_HUMAN
ENST00000250373	Q14934	NFAC4_HUMAN
ENST00000250378	P23946	CMA1_HUMAN
ENST00000250383	Q13268	DHRS2_HUMAN
ENST00000250448	P55317	FOXA1_HUMAN
ENST00000250454	Q56P03	EAPP_HUMAN
ENST00000250457	Q9H6Z9	EGLN3_HUMAN
ENST00000250495	Q15843	NEDD8_HUMAN
ENST00000250498	P61803	DAD1_HUMAN
ENST00000250535	Q16878	CDO1_HUMAN
ENST00000250559	P61224	RAP1B_HUMAN
ENST00000250617	Q15052	ARHG6_HUMAN
ENST00000250693	P52961	NAR1_HUMAN
ENST00000250699	Q9GZZ6	ACH10_HUMAN
ENST00000250784	P22090	RS4Y1_HUMAN
ENST00000250823	O14598	VCY1_HUMAN
ENST00000250825	O14598	VCY1_HUMAN
ENST00000250831	Q15415	RBY1F_HUMAN
ENST00000250894	Q9UPT6	JIP3_HUMAN
ENST00000250896	Q9HBH9	MKNK2_HUMAN
ENST00000250916	Q9BXK1	KLF16_HUMAN
ENST00000250971	P01308	INS_HUMAN
ENST00000251020	Q9NSC2	SALL1_HUMAN
ENST00000251038	Q6PJT7	ZC3HE_HUMAN
ENST00000251047	P49257	LMAN1_HUMAN
ENST00000251089	Q9UNK9	ANGE1_HUMAN
ENST00000251102	Q14028	CNGB1_HUMAN
ENST00000251108	Q9BWV3	CDAC1_HUMAN
ENST00000251127	Q8IZF0	NALCN_HUMAN
ENST00000251166	P57737	CORO7_HUMAN
ENST00000251170	O43304	S14L5_HUMAN
ENST00000251203	Q9BYU1	PBX4_HUMAN
ENST00000251241	Q8IX18	DHX40_HUMAN
ENST00000251268	Q7Z7M0	MEGF8_HUMAN
ENST00000251287	Q9UL51	HCN2_HUMAN
ENST00000251296	Q96ID5	IGS21_HUMAN
ENST00000251303	Q9BQ83	SLX1_HUMAN
ENST00000251334	J3KMZ7	J3KMZ7_HUMAN
ENST00000251343	O15037	KHNYN_HUMAN
ENST00000251372	O75019	LIRA1_HUMAN
ENST00000251412	Q9NRH3	TBG2_HUMAN
ENST00000251413	P23258	TBG1_HUMAN
ENST00000251453	P62249	RS16_HUMAN
ENST00000251472	Q9Y2H9	MAST1_HUMAN
ENST00000251473	Q96GM1	PLPR2_HUMAN
ENST00000251481	O00338	ST1C2_HUMAN
ENST00000251496	Q9BPX3	CND3_HUMAN
ENST00000251507	Q5R372	RBG1L_HUMAN
ENST00000251535	P18054	LOX12_HUMAN
ENST00000251566	Q6UWM9	UD2A3_HUMAN
ENST00000251582	O95450	ATS2_HUMAN
ENST00000251588	Q9H6Q4	CIAO3_HUMAN
ENST00000251595	P69905	HBA_HUMAN
ENST00000251607	Q96Q11	TRNT1_HUMAN
ENST00000251636	Q7Z478	DHX29_HUMAN
ENST00000251642	Q96C10	DHX58_HUMAN
ENST00000251643	Q99456	K1C12_HUMAN
ENST00000251645	Q15323	K1H1_HUMAN
ENST00000251646	Q14525	KT33B_HUMAN
ENST00000251691	Q5TH69	BIG3_HUMAN
ENST00000251775	O95219	SNX4_HUMAN
ENST00000251776	Q9BZX4	ROP1B_HUMAN
ENST00000251809	Q07617	SPAG1_HUMAN
ENST00000251810	Q7LG56	RIR2B_HUMAN
ENST00000251822	Q9BYZ6	RHBT2_HUMAN
ENST00000251849	P04049	RAF1_HUMAN
ENST00000251864	Q9BXT4	TDRD1_HUMAN
ENST00000251871	Q9NVC6	MED17_HUMAN
ENST00000251900	Q9UQR0	SCML2_HUMAN
ENST00000251968	Q99816	TS101_HUMAN
ENST00000252011	Q9H5Z1	DHX35_HUMAN
ENST00000252015	Q8TEL6	TP4AP_HUMAN
ENST00000252032	Q5TEA3	DAAF9_HUMAN
ENST00000252037	O75344	FKBP6_HUMAN
ENST00000252050	Q8IWT3	CUL9_HUMAN
ENST00000252071	Q9C0K3	ARP3C_HUMAN
ENST00000252085	O60330	PCDGC_HUMAN
ENST00000252087	Q9Y5F6	PCDGM_HUMAN
ENST00000252102	O43678	NDUA2_HUMAN
ENST00000252108	Q14139	UBE4A_HUMAN
ENST00000252137	Q96DF8	ESS2_HUMAN
ENST00000252207	O15535	ZSC9_HUMAN
ENST00000252211	Q9BRR0	ZKSC3_HUMAN
ENST00000252229	Q29980	MICB_HUMAN
ENST00000252242	P13647	K2C5_HUMAN
ENST00000252244	P04264	K2C1_HUMAN
ENST00000252245	O95678	K2C75_HUMAN
ENST00000252250	P48668	K2C6C_HUMAN
ENST00000252252	P04259	K2C6B_HUMAN
ENST00000252288	Q14353	GAMT_HUMAN
ENST00000252318	Q9NY28	GALT8_HUMAN
ENST00000252321	P22460	KCNA5_HUMAN
ENST00000252329	Q9BT73	PSMG3_HUMAN
ENST00000252338	O75949	NALF2_HUMAN
ENST00000252445	P60002	ELOF1_HUMAN
ENST00000252456	P51911	CNN1_HUMAN
ENST00000252483	Q92692	NECT2_HUMAN
ENST00000252486	P02649	APOE_HUMAN
ENST00000252487	O96008	TOM40_HUMAN
ENST00000252490	P02655	APOC2_HUMAN
ENST00000252505	Q8N6M5	ALLC_HUMAN
ENST00000252506	O95257	GA45G_HUMAN
ENST00000252512	Q9UIA9	XPO7_HUMAN
ENST00000252530	Q17RN3	FA98C_HUMAN
ENST00000252542	Q14151	SAFB2_HUMAN
ENST00000252575	O14594	NCAN_HUMAN
ENST00000252590	Q9BX97	PLVAP_HUMAN
ENST00000252593	Q10589	BST2_HUMAN
ENST00000252595	Q6PCB7	S27A1_HUMAN
ENST00000252597	Q8N6Y0	USBP1_HUMAN
ENST00000252599	Q8NBJ5	GT251_HUMAN
ENST00000252603	O95336	6PGL_HUMAN
ENST00000252622	Q9UK45	LSM7_HUMAN
ENST00000252674	Q03111	ENL_HUMAN
ENST00000252677	O95972	BMP15_HUMAN
ENST00000252699	O43707	ACTN4_HUMAN
ENST00000252711	O95299	NDUAA_HUMAN
ENST00000252723	P01588	EPO_HUMAN
ENST00000252729	Q9BXT2	CCG6_HUMAN
ENST00000252744	Q9HCJ5	ZSWM6_HUMAN
ENST00000252771	O14526	FCHO1_HUMAN
ENST00000252797	Q96H86	ZN764_HUMAN
ENST00000252804	Q92626	PXDN_HUMAN
ENST00000252809	Q99988	GDF15_HUMAN
ENST00000252818	P17535	JUND_HUMAN
ENST00000252825	P23327	SRCH_HUMAN
ENST00000252826	Q8TD43	TRPM4_HUMAN
ENST00000252840	Q8N988	ZN557_HUMAN
ENST00000252891	Q9Y6R0	NUMBL_HUMAN
ENST00000252934	Q9UBB4	ATX10_HUMAN
ENST00000252939	Q9NYX4	CALY_HUMAN
ENST00000252951	P02008	HBAZ_HUMAN
ENST00000252979	Q9Y3M9	ZN337_HUMAN
ENST00000252984	Q3KRA9	ALKB6_HUMAN
ENST00000252992	Q6P2H3	CEP85_HUMAN
ENST00000252996	O00268	TAF4_HUMAN
ENST00000252997	Q9BWX5	GATA5_HUMAN
ENST00000252998	Q8NC74	RB8NL_HUMAN
ENST00000252999	O15230	LAMA5_HUMAN
ENST00000253008	Q9H4Q4	PRD12_HUMAN
ENST00000253023	P61081	UBC12_HUMAN
ENST00000253024	Q13263	TIF1B_HUMAN
ENST00000253031	Q9BWQ6	YIPF2_HUMAN
ENST00000253039	P41091	IF2G_HUMAN
ENST00000253047	Q9NX00	TM160_HUMAN
ENST00000253048	Q9UPT8	ZC3H4_HUMAN
ENST00000253055	Q02779	M3K10_HUMAN
ENST00000253063	P58004	SESN2_HUMAN
ENST00000253079	Q6P9F0	CCD62_HUMAN
ENST00000253083	O75146	HIP1R_HUMAN
ENST00000253107	Q9NQ55	SSF1_HUMAN
ENST00000253108	O75821	EIF3G_HUMAN
ENST00000253109	Q8NI99	ANGL6_HUMAN
ENST00000253110	Q9NUL5	SHFL_HUMAN
ENST00000253115	Q9BUY5	ZN426_HUMAN
ENST00000253122	P48029	SC6A8_HUMAN
ENST00000253188	Q9NS82	AAA1_HUMAN
ENST00000253193	O75074	LRP3_HUMAN
ENST00000253233	Q9H3J6	MTRFR_HUMAN
ENST00000253237	Q9BQ67	GRWD1_HUMAN
ENST00000253247	Q9H8H0	NOL11_HUMAN
ENST00000253251	O95155	UBE4B_HUMAN
ENST00000253255	Q9NTG1	PKDRE_HUMAN
ENST00000253262	A1L443	NTM2F_HUMAN
ENST00000253270	Q76EJ3	S35D2_HUMAN
ENST00000253329	Q8WUA2	PPIL4_HUMAN
ENST00000253354	Q8TDL5	BPIB1_HUMAN
ENST00000253362	Q96DR5	BPIA2_HUMAN
ENST00000253381	Q96PH6	DB118_HUMAN
ENST00000253401	O43307	ARHG9_HUMAN
ENST00000253407	O75973	C1QRF_HUMAN
ENST00000253413	P36543	VATE1_HUMAN
ENST00000253452	P13073	COX41_HUMAN
ENST00000253457	O43402	EMC8_HUMAN
ENST00000253458	Q14687	GSE1_HUMAN
ENST00000253462	Q9Y248	PSF2_HUMAN
ENST00000253490	P0C7A2	F153B_HUMAN
ENST00000253496	P00748	FA12_HUMAN
ENST00000253577	O75027	ABCB7_HUMAN
ENST00000253669	Q9BT25	HAUS8_HUMAN
ENST00000253686	P82663	RT25_HUMAN
ENST00000253693	Q9Y6W3	CAN7_HUMAN
ENST00000253697	Q8ND61	CC020_HUMAN
ENST00000253699	Q9H1K0	RBNS5_HUMAN
ENST00000253719	O96009	NAPSA_HUMAN
ENST00000253754	P50479	PDLI4_HUMAN
ENST00000253778	O94808	GFPT2_HUMAN
ENST00000253794	Q9BRG1	VPS25_HUMAN
ENST00000253796	O60895	RAMP2_HUMAN
ENST00000253799	O75106	AOC2_HUMAN
ENST00000253801	P35575	G6PC1_HUMAN
ENST00000253807	Q9H158	PCDC1_HUMAN
ENST00000253812	Q9Y5H0	PCDG3_HUMAN
ENST00000253814	Q9BT67	NFIP1_HUMAN
ENST00000253861	Q96A65	EXOC4_HUMAN
ENST00000253925	Q13136	LIPA1_HUMAN
ENST00000253928	Q4VC44	FWCH1_HUMAN
ENST00000253934	Q9BSN7	TM204_HUMAN
ENST00000253968	Q9HBU1	BARX1_HUMAN
ENST00000254029	Q5JSH3	WDR44_HUMAN
ENST00000254035	P17540	KCRS_HUMAN
ENST00000254051	Q8IZW8	TENS4_HUMAN
ENST00000254066	P10276	RARA_HUMAN
ENST00000254072	Q9BYQ0	KRA98_HUMAN
ENST00000254079	Q9UD71	PPR1B_HUMAN
ENST00000254090	P49326	FMO5_HUMAN
ENST00000254101	O43741	AAKB2_HUMAN
ENST00000254108	P35637	FUS_HUMAN
ENST00000254166	P52740	ZN132_HUMAN
ENST00000254181	Q9HBJ7	UBP29_HUMAN
ENST00000254190	Q86X52	CHSS1_HUMAN
ENST00000254193	P09661	RU2A_HUMAN
ENST00000254227	Q15466	NR0B2_HUMAN
ENST00000254250	Q9NVV9	THAP1_HUMAN
ENST00000254260	Q8IUC4	RHPN2_HUMAN
ENST00000254286	Q9NZ32	ARP10_HUMAN
ENST00000254301	P17931	LEG3_HUMAN
ENST00000254321	Q9H0M5	ZN700_HUMAN
ENST00000254323	Q9H7M6	ZSWM4_HUMAN
ENST00000254325	P22670	RFX1_HUMAN
ENST00000254337	Q66K64	DCA15_HUMAN
ENST00000254436	P19474	RO52_HUMAN
ENST00000254442	Q9Y4E6	WDR7_HUMAN
ENST00000254480	Q92922	SMRC1_HUMAN
ENST00000254488	P48066	S6A11_HUMAN
ENST00000254508	Q8TEM1	PO210_HUMAN
ENST00000254521	P56937	DHB7_HUMAN
ENST00000254528	Q9BXX0	EMIL2_HUMAN
ENST00000254579	Q96M86	DNHD1_HUMAN
ENST00000254584	P53365	ARFP2_HUMAN
ENST00000254605	O43159	RRP8_HUMAN
ENST00000254616	Q9Y5J6	T10B_HUMAN
ENST00000254624	Q14156	EFR3A_HUMAN
ENST00000254627	Q02509	OC90_HUMAN
ENST00000254630	Q96EY7	PTCD3_HUMAN
ENST00000254654	Q9H0C8	ILKAP_HUMAN
ENST00000254657	O15055	PER2_HUMAN
ENST00000254691	Q9BX69	CARD6_HUMAN
ENST00000254718	Q9BQG0	MBB1A_HUMAN
ENST00000254719	P27694	RFA1_HUMAN
ENST00000254722	P36955	PEDF_HUMAN
ENST00000254730	P57772	SELB_HUMAN
ENST00000254759	Q9NZJ6	COQ3_HUMAN
ENST00000254765	Q9HBV1	POPD3_HUMAN
ENST00000254770	Q9NS86	LANC2_HUMAN
ENST00000254799	Q12849	GRSF1_HUMAN
ENST00000254801	P01591	IGJ_HUMAN
ENST00000254803	Q9NQZ2	SAS10_HUMAN
ENST00000254816	Q96LD4	TRI47_HUMAN
ENST00000254821	O95218	ZRAB2_HUMAN
ENST00000254850	P07307	ASGR2_HUMAN
ENST00000254854	Q02846	GUC2D_HUMAN
ENST00000254878	P52758	RIDA_HUMAN
ENST00000254898	O00339	MATN2_HUMAN
ENST00000254900	Q9H0E9	BRD8_HUMAN
ENST00000254928	O75616	ERAL1_HUMAN
ENST00000254940	Q9Y221	NIP7_HUMAN
ENST00000254942	Q15554	TERF2_HUMAN
ENST00000254950	Q9UN37	VPS4A_HUMAN
ENST00000254958	P78504	JAG1_HUMAN
ENST00000254963	Q96MM6	HS12B_HUMAN
ENST00000254976	P60880	SNP25_HUMAN
ENST00000254977	Q9Y2F9	BTBD3_HUMAN
ENST00000254998	Q9UKK6	NXT1_HUMAN
ENST00000255008	P31391	SSR4_HUMAN
ENST00000255030	P02741	CRP_HUMAN
ENST00000255039	Q9GZV7	HPLN2_HUMAN
ENST00000255040	P02743	SAMP_HUMAN
ENST00000255078	P38935	SMBP2_HUMAN
ENST00000255082	Q96HD9	ACY3_HUMAN
ENST00000255087	Q9Y4I5	MTL5_HUMAN
ENST00000255108	Q9BQC3	DPH2_HUMAN
ENST00000255136	Q4VXU2	PAP1L_HUMAN
ENST00000255152	Q96MP5	ZSWM3_HUMAN
ENST00000255174	Q9NX31	OSER1_HUMAN
ENST00000255175	Q13530	SERC3_HUMAN
ENST00000255189	Q9UI17	M2GD_HUMAN
ENST00000255192	Q9H2M3	BHMT2_HUMAN
ENST00000255194	O00203	AP3B1_HUMAN
ENST00000255198	Q96IU2	ZBED3_HUMAN
ENST00000255224	Q9H2B2	SYT4_HUMAN
ENST00000255262	Q9GZQ4	NMUR2_HUMAN
ENST00000255266	P16499	PDE6A_HUMAN
ENST00000255304	Q5W0Q7	USPL1_HUMAN
ENST00000255305	Q9C0E2	XPO4_HUMAN
ENST00000255324	Q9BXT8	RNF17_HUMAN
ENST00000255381	Q9Y623	MYH4_HUMAN
ENST00000255390	O75880	SCO1_HUMAN
ENST00000255409	P36222	CH3L1_HUMAN
ENST00000255416	Q13203	MYBPH_HUMAN
ENST00000255476	O00287	RFXAP_HUMAN
ENST00000255499	Q8TEB7	RN128_HUMAN
ENST00000255531	Q8TAB3	PCD19_HUMAN
ENST00000255559	Q8N1S5	S39AB_HUMAN
ENST00000255608	Q9BX70	BTBD2_HUMAN
ENST00000255613	Q86Y97	KMT5C_HUMAN
ENST00000255631	Q9NZL4	HPBP1_HUMAN
ENST00000255641	P78368	KC1G2_HUMAN
ENST00000255681	Q9BQ69	MACD1_HUMAN
ENST00000255688	Q9UL19	PLAT4_HUMAN
ENST00000255695	Q9NWW9	PLAT2_HUMAN
ENST00000255759	Q96NB1	CEP20_HUMAN
ENST00000255764	Q9BTT4	MED10_HUMAN
ENST00000255784	Q9H6E4	CC134_HUMAN
ENST00000255858	Q9UDX3	S14L4_HUMAN
ENST00000255882	P42356	PI4KA_HUMAN
ENST00000255945	Q9NUV9	GIMA4_HUMAN
ENST00000255977	Q9UHC7	MKRN1_HUMAN
ENST00000256001	Q9P1U1	ARP3B_HUMAN
ENST00000256010	P30990	NEUT_HUMAN
ENST00000256015	P62324	BTG1_HUMAN
ENST00000256079	O15397	IPO8_HUMAN
ENST00000256103	P02689	MYP2_HUMAN
ENST00000256104	P15090	FABP4_HUMAN
ENST00000256108	P29218	IMPA1_HUMAN
ENST00000256151	Q9P031	TAP26_HUMAN
ENST00000256178	Q9Y5Y7	LYVE1_HUMAN
ENST00000256190	Q86WG5	MTMRD_HUMAN
ENST00000256196	P62070	RRAS2_HUMAN
ENST00000256255	Q96BY9	SARAF_HUMAN
ENST00000256257	Q9H9V4	RN122_HUMAN
ENST00000256261	Q9BV47	DUS26_HUMAN
ENST00000256319	Q9UKR5	ERG28_HUMAN
ENST00000256324	Q7Z3D6	GLUCM_HUMAN
ENST00000256343	Q9H7T0	CTSRB_HUMAN
ENST00000256362	Q9H8Y1	VRTN_HUMAN
ENST00000256366	P57105	SYJ2B_HUMAN
ENST00000256367	Q92623	TTC9A_HUMAN
ENST00000256383	P05198	IF2A_HUMAN
ENST00000256404	Q96S96	PEBP4_HUMAN
ENST00000256412	O15204	ADEC1_HUMAN
ENST00000256425	Q9BYG7	MSTRO_HUMAN
ENST00000256429	Q9UBB5	MBD2_HUMAN
ENST00000256433	Q9Y5U9	IR3IP_HUMAN
ENST00000256441	P82909	KGD4_HUMAN
ENST00000256442	P14635	CCNB1_HUMAN
ENST00000256443	P50613	CDK7_HUMAN
ENST00000256447	Q99467	CD180_HUMAN
ENST00000256458	O43187	IRAK2_HUMAN
ENST00000256460	Q14012	KCC1A_HUMAN
ENST00000256474	P40337	VHL_HUMAN
ENST00000256495	O14503	BHE40_HUMAN
ENST00000256496	Q9NVJ2	ARL8B_HUMAN
ENST00000256497	Q92611	EDEM1_HUMAN
ENST00000256509	O00533	NCHL1_HUMAN
ENST00000256538	Q7L8W6	DPH6_HUMAN
ENST00000256544	Q9H079	KTBL1_HUMAN
ENST00000256545	Q9NPA0	EMC7_HUMAN
ENST00000256592	P01222	TSHB_HUMAN
ENST00000256593	P46439	GSTM5_HUMAN
ENST00000256637	Q99523	SORT_HUMAN
ENST00000256646	Q04721	NOTC2_HUMAN
ENST00000256649	Q9H8W5	TRI45_HUMAN
ENST00000256682	P61204	ARF3_HUMAN
ENST00000256689	Q96QD8	S38A2_HUMAN
ENST00000256722	Q5EBM0	CMPK2_HUMAN
ENST00000256733	P0DJI9	SAA2_HUMAN
ENST00000256737	Q9BYT9	ANO3_HUMAN
ENST00000256759	P19883	FST_HUMAN
ENST00000256785	Q9BXR6	FHR5_HUMAN
ENST00000256797	Q76MJ5	ERN2_HUMAN
ENST00000256854	O43776	SYNC_HUMAN
ENST00000256857	P07492	GRP_HUMAN
ENST00000256897	P51946	CCNH_HUMAN
ENST00000256906	Q9H3N8	HRH4_HUMAN
ENST00000256925	Q8TDN4	CABL1_HUMAN
ENST00000256951	P54849	EMP1_HUMAN
ENST00000256953	Q96A58	RERG_HUMAN
ENST00000256958	Q9Y6L6	SO1B1_HUMAN
ENST00000256969	Q9BT56	SPXN_HUMAN
ENST00000256996	Q92466	DDB2_HUMAN
ENST00000256997	P11117	PPAL_HUMAN
ENST00000256999	Q04609	FOLH1_HUMAN
ENST00000257013	A6ZKI3	RTL8C_HUMAN
ENST00000257017	Q14088	RB33A_HUMAN
ENST00000257068	P49286	MTR1B_HUMAN
ENST00000257118	Q8IXK0	PHC2_HUMAN
ENST00000257177	A0A0C4DFM7	A0A0C4DFM7_HUMAN
ENST00000257181	Q8NAV1	PR38A_HUMAN
ENST00000257189	P32926	DSG3_HUMAN
ENST00000257192	Q02413	DSG1_HUMAN
ENST00000257198	Q08554	DSC1_HUMAN
ENST00000257209	Q2V2M9	FHOD3_HUMAN
ENST00000257215	Q9Y4D2	DGLA_HUMAN
ENST00000257245	P62072	TIM10_HUMAN
ENST00000257247	Q09666	AHNK_HUMAN
ENST00000257248	P27352	IF_HUMAN
ENST00000257264	P20061	TCO1_HUMAN
ENST00000257287	Q66GS9	CP135_HUMAN
ENST00000257290	P16234	PGFRA_HUMAN
ENST00000257336	Q86UB2	BIVM_HUMAN
ENST00000257347	Q9HA77	SYCM_HUMAN
ENST00000257359	Q9UP79	ATS8_HUMAN
ENST00000257408	Q86Z14	KLOTB_HUMAN
ENST00000257430	P25054	APC_HUMAN
ENST00000257497	P04083	ANXA1_HUMAN
ENST00000257527	Q9H013	ADA19_HUMAN
ENST00000257536	B4DZA8	B4DZA8_HUMAN
ENST00000257548	Q70CQ3	UBP30_HUMAN
ENST00000257549	P20132	SDHL_HUMAN
ENST00000257552	O43347	MSI1H_HUMAN
ENST00000257555	A0A0A0MQU7	A0A0A0MQU7_HUMAN
ENST00000257570	Q15646	OASL_HUMAN
ENST00000257572	O00198	HRK_HUMAN
ENST00000257575	Q96EX2	RNFT2_HUMAN
ENST00000257600	Q86Y01	DTX1_HUMAN
ENST00000257604	O14545	TRAD1_HUMAN
ENST00000257626	A4D1B5	GSAP_HUMAN
ENST00000257627	P0CE71	OCM2_HUMAN
ENST00000257663	Q9H2L4	TMM60_HUMAN
ENST00000257694	Q9NP80	PLPL8_HUMAN
ENST00000257696	Q9Y5L2	HLPDA_HUMAN
ENST00000257700	Q6NUQ1	RINT1_HUMAN
ENST00000257770	P21589	5NTD_HUMAN
ENST00000257776	Q96G30	MRAP2_HUMAN
ENST00000257787	Q53H80	AKIR2_HUMAN
ENST00000257829	Q9H0A0	NAT10_HUMAN
ENST00000257831	Q9NZC4	EHF_HUMAN
ENST00000257832	Q9UKW6	ELF5_HUMAN
ENST00000257836	Q9BZD6	TMG4_HUMAN
ENST00000257860	P41219	PERI_HUMAN
ENST00000257861	O75366	AVIL_HUMAN
ENST00000257863	Q16671	AMHR2_HUMAN
ENST00000257867	Q9GZZ8	LACRT_HUMAN
ENST00000257868	O95390	GDF11_HUMAN
ENST00000257894	Q8IYM0	F186B_HUMAN
ENST00000257895	Q92781	RDH5_HUMAN
ENST00000257901	P78386	KRT85_HUMAN
ENST00000257904	P11802	CDK4_HUMAN
ENST00000257905	Q13522	PPR1A_HUMAN
ENST00000257910	Q12999	TSN31_HUMAN
ENST00000257915	Q12800	TFCP2_HUMAN
ENST00000257934	Q14674	ESPL1_HUMAN
ENST00000257940	Q96K80	ZC3HA_HUMAN
ENST00000257951	Q9NSB2	KRT84_HUMAN
ENST00000257963	P36896	ACV1B_HUMAN
ENST00000257974	Q9NSB4	KRT82_HUMAN
ENST00000257981	Q9ULD8	KCNH3_HUMAN
ENST00000258034	O14804	TAAR5_HUMAN
ENST00000258042	P28336	NMBR_HUMAN
ENST00000258052	O60906	NSMA_HUMAN
ENST00000258080	O43464	HTRA2_HUMAN
ENST00000258083	Q9BSG0	PADC1_HUMAN
ENST00000258091	Q99832	TCPH_HUMAN
ENST00000258098	Q9BXF6	RFIP5_HUMAN
ENST00000258105	Q96EL3	RM53_HUMAN
ENST00000258106	Q04741	EMX1_HUMAN
ENST00000258111	Q86W47	KCMB4_HUMAN
ENST00000258145	P15586	GNS_HUMAN
ENST00000258168	Q9HAY6	BCDO1_HUMAN
ENST00000258169	Q99547	MPH6_HUMAN
ENST00000258173	Q9H6L2	TM231_HUMAN
ENST00000258198	O43237	DC1L2_HUMAN
ENST00000258200	Q96CD0	FBXL8_HUMAN
ENST00000258201	Q9Y613	FHOD1_HUMAN
ENST00000258214	Q96A19	C102A_HUMAN
ENST00000258229	A6NKB5	PCX2_HUMAN
ENST00000258243	Q14146	URB2_HUMAN
ENST00000258281	O75529	TAF5L_HUMAN
ENST00000258341	P11047	LAMC1_HUMAN
ENST00000258381	Q9HB58	SP110_HUMAN
ENST00000258383	Q9H9J2	RM44_HUMAN
ENST00000258385	Q07001	ACHD_HUMAN
ENST00000258399	Q86T82	UBP37_HUMAN
ENST00000258400	P41595	5HT2B_HUMAN
ENST00000258411	Q9GZT5	WN10A_HUMAN
ENST00000258412	Q969X1	LFG3_HUMAN
ENST00000258415	Q02318	CP27A_HUMAN
ENST00000258416	O60573	IF4E2_HUMAN
ENST00000258418	Q9Y376	CAB39_HUMAN
ENST00000258424	P10606	COX5B_HUMAN
ENST00000258428	Q9UBZ9	REV1_HUMAN
ENST00000258436	Q8NBP5	MFSD9_HUMAN
ENST00000258439	O75204	TM127_HUMAN
ENST00000258443	Q9UNE0	EDAR_HUMAN
ENST00000258455	P82933	RT09_HUMAN
ENST00000258456	Q9Y5Y3	GPR45_HUMAN
ENST00000258457	Q9BVC5	ASHWN_HUMAN
ENST00000258484	Q52LR7	EPC2_HUMAN
ENST00000258494	Q3SY69	AL1L2_HUMAN
ENST00000258499	Q9H0E7	UBP44_HUMAN
ENST00000258526	O60486	PLXC1_HUMAN
ENST00000258530	Q8NEU8	DP13B_HUMAN
ENST00000258534	Q8N682	DRAM1_HUMAN
ENST00000258538	Q96JW4	S41A2_HUMAN
ENST00000258613	Q9NS62	THSD1_HUMAN
